acc_x,acc_y,acc_z
-0.021608,0.035820,9.820317
-0.021388,0.033966,9.820813
-0.021317,0.034074,9.819061
-0.019828,0.034683,9.820425
-0.022638,0.033884,9.821666
-0.019599,0.034799,9.819800
-0.020645,0.034686,9.820961
-0.021828,0.032918,9.820437
-0.020803,0.033266,9.820495
-0.019454,0.035926,9.820378
-0.021409,0.033636,9.820528
-0.021611,0.032212,9.820523
-0.020694,0.034477,9.820574
-0.021392,0.034606,9.820505
-0.021445,0.032527,9.819552
-0.021050,0.033580,9.821088
-0.022444,0.033568,9.820448
-0.020837,0.033640,9.820064
-0.019791,0.033203,9.820402
-0.022248,0.033008,9.820133
-0.021173,0.032886,9.821353
-0.021216,0.032330,9.820336
-0.019680,0.033904,9.818925
-0.022092,0.031521,9.820019
-0.021341,0.033423,9.819846
-0.020251,0.032857,9.821032
-0.021401,0.031294,9.819066
-0.020916,0.031513,9.819651
-0.019903,0.032763,9.820319
-0.020910,0.033855,9.820377
-0.019796,0.032394,9.820135
-0.021289,0.031428,9.820718
-0.019759,0.034145,9.819719
-0.020426,0.031759,9.821340
-0.019535,0.032707,9.819692
-0.020901,0.032423,9.819713
-0.022477,0.031618,9.820983
-0.019278,0.032186,9.820222
-0.020638,0.032726,9.820725
-0.021664,0.032941,9.820936
-0.019513,0.031413,9.821336
-0.020209,0.032510,9.819312
-0.021727,0.032046,9.819593
-0.020475,0.032684,9.820798
-0.021289,0.030730,9.819836
-0.018772,0.031890,9.821512
-0.020847,0.032825,9.820588
-0.020772,0.031178,9.819823
-0.020096,0.031526,9.821132
-0.020483,0.031765,9.819500
-0.018916,0.031562,9.820627
-0.020730,0.031832,9.820460
-0.020809,0.032438,9.820254
-0.019952,0.031403,9.821879
-0.020148,0.031246,9.819865
-0.020836,0.031285,9.820406
-0.021633,0.031684,9.821411
-0.020640,0.031926,9.820511
-0.019125,0.031870,9.821092
-0.019178,0.032073,9.820644
-0.021223,0.030165,9.820487
-0.020871,0.031758,9.821127
-0.020091,0.031499,9.820891
-0.020183,0.031856,9.819969
-0.020745,0.032239,9.821503
-0.018801,0.030327,9.820029
-0.020940,0.031665,9.820712
-0.019954,0.031061,9.821387
-0.020240,0.030801,9.819738
-0.020698,0.031459,9.820802
-0.019353,0.030883,9.820510
-0.019509,0.031556,9.820285
-0.020530,0.030512,9.820794
-0.021573,0.030789,9.820612
-0.020067,0.031205,9.820035
-0.019384,0.029832,9.821050
-0.020140,0.031037,9.821032
-0.019338,0.030838,9.820626
-0.020569,0.030335,9.820910
-0.019379,0.031198,9.821120
-0.019641,0.030384,9.821196
-0.018101,0.030520,9.821554
-0.019488,0.029451,9.820970
-0.019606,0.030320,9.820641
-0.018981,0.030477,9.820142
-0.019974,0.030193,9.821174
-0.020276,0.030215,9.820827
-0.019797,0.029749,9.820640
-0.019200,0.030266,9.821071
-0.020441,0.029384,9.821396
-0.019569,0.029062,9.820553
-0.019253,0.030769,9.821580
-0.018585,0.029576,9.821659
-0.019766,0.029975,9.820368
-0.019925,0.029930,9.821956
-0.019054,0.029209,9.821335
-0.020098,0.030016,9.820692
-0.019782,0.029685,9.821729
-0.019552,0.029611,9.820936
-0.018782,0.029401,9.821573
-0.020318,0.029062,9.819853
-0.018512,0.029520,9.821209
-0.018322,0.029514,9.820566
-0.019964,0.029406,9.820002
-0.019818,0.028458,9.820603
-0.018495,0.029215,9.820944
-0.019922,0.029888,9.821310
-0.019712,0.029769,9.821496
-0.018914,0.028479,9.821100
-0.019828,0.028262,9.820527
-0.019805,0.029135,9.820120
-0.019527,0.028739,9.820917
-0.020398,0.028261,9.821029
-0.019257,0.029232,9.821578
-0.019606,0.030171,9.821763
-0.018729,0.027933,9.820501
-0.019532,0.028522,9.820949
-0.019850,0.027726,9.820805
-0.019630,0.027832,9.821317
-0.018094,0.028903,9.821896
-0.018202,0.029300,9.820474
-0.020189,0.027627,9.821417
-0.020884,0.028085,9.821807
-0.018623,0.029267,9.821154
-0.019073,0.027523,9.821110
-0.020303,0.028012,9.821432
-0.019281,0.028346,9.822768
-0.018398,0.027200,9.820653
-0.018929,0.028345,9.821094
-0.020057,0.027936,9.821676
-0.018720,0.027939,9.822005
-0.018054,0.028219,9.821277
-0.020184,0.027159,9.822548
-0.018858,0.027500,9.820566
-0.018722,0.027625,9.821162
-0.020045,0.027197,9.821427
-0.019096,0.027006,9.821075
-0.017564,0.027685,9.821983
-0.018979,0.027843,9.820930
-0.018840,0.026303,9.821737
-0.018556,0.026827,9.822715
-0.018424,0.026716,9.820415
-0.018874,0.026988,9.821471
-0.019453,0.025710,9.820988
-0.018365,0.026978,9.820980
-0.019027,0.026593,9.821735
-0.018054,0.025695,9.822016
-0.019265,0.026591,9.820690
-0.018408,0.027022,9.821446
-0.018147,0.026315,9.821716
-0.019922,0.025626,9.820522
-0.018201,0.025968,9.821201
-0.018307,0.028290,9.822984
-0.018166,0.026642,9.820919
-0.018669,0.025703,9.822205
-0.018397,0.026465,9.820377
-0.018257,0.026706,9.821553
-0.019422,0.025485,9.820939
-0.017994,0.026627,9.821122
-0.018052,0.025949,9.821361
-0.020036,0.027946,9.821367
-0.017964,0.025329,9.821843
-0.018433,0.025629,9.821449
-0.019304,0.026974,9.820446
-0.018752,0.025679,9.820987
-0.018074,0.025341,9.820722
-0.018254,0.026379,9.820640
-0.018641,0.026344,9.821730
-0.018039,0.025329,9.821951
-0.018236,0.026350,9.820766
-0.018735,0.025253,9.821269
-0.018922,0.025829,9.821136
-0.017708,0.025828,9.821712
-0.017659,0.026371,9.821839
-0.017888,0.025783,9.819413
-0.018434,0.025643,9.821688
-0.017328,0.025161,9.822405
-0.017705,0.024659,9.821569
-0.018077,0.025250,9.820461
-0.018639,0.024907,9.820967
-0.018065,0.025282,9.821300
-0.017431,0.025507,9.821586
-0.018128,0.023979,9.821462
-0.019169,0.025471,9.819974
-0.017961,0.024137,9.820930
-0.016576,0.025339,9.821564
-0.018917,0.024962,9.821012
-0.018071,0.025272,9.820576
-0.017292,0.024209,9.820079
-0.017729,0.024406,9.821678
-0.019298,0.024396,9.821836
-0.016705,0.025850,9.820917
-0.018911,0.023653,9.820994
-0.018074,0.023706,9.820025
-0.016420,0.024589,9.820973
-0.017867,0.023543,9.820910
-0.018021,0.023791,9.822036
-0.016770,0.024161,9.821046
-0.016312,0.024299,9.820370
-0.019044,0.025245,9.821261
-0.018091,0.023054,9.820785
-0.017024,0.022930,9.821260
-0.018010,0.025225,9.821522
-0.017837,0.023591,9.820851
-0.017550,0.024601,9.820034
-0.018430,0.023756,9.821200
-0.017277,0.023872,9.821921
-0.016731,0.025220,9.820181
-0.019334,0.023623,9.820600
-0.017362,0.023592,9.821376
-0.017663,0.023721,9.821006
-0.017362,0.023848,9.821082
-0.018228,0.023199,9.820416
-0.017465,0.023217,9.820820
-0.017707,0.022880,9.822203
-0.017860,0.023578,9.820326
-0.017038,0.025022,9.821535
-0.018248,0.023804,9.821272
-0.017597,0.022400,9.821579
-0.016647,0.023195,9.822237
-0.018323,0.023961,9.821673
-0.017697,0.023490,9.821763
-0.017638,0.023195,9.821462
-0.017221,0.022423,9.821144
-0.017972,0.023331,9.820740
-0.017784,0.021831,9.820382
-0.017818,0.022673,9.821472
-0.018171,0.022914,9.821795
-0.017906,0.020888,9.821173
-0.018298,0.022883,9.820714
-0.016564,0.022581,9.820773
-0.017575,0.022189,9.820795
-0.018188,0.021741,9.821038
-0.016776,0.021514,9.822094
-0.017981,0.023563,9.821368
-0.017054,0.022020,9.821428
-0.016858,0.022392,9.820747
-0.018694,0.022390,9.820625
-0.017253,0.022038,9.821363
-0.016300,0.021997,9.821019
